cycle,S,density
7980,0.015,3.930
7990,0.015,3.929
8000,0.015,3.929
8010,0.013,3.930
8020,0.013,3.930
8030,0.013,3.931
8040,0.013,3.931
8050,0.013,3.931
8060,0.013,3.931
8070,0.013,3.931
8080,0.013,3.932
8090,0.014,3.932
8100,0.014,3.932
8110,0.014,3.933
8120,0.014,3.933
8130,0.013,3.934
8140,0.013,3.933
8150,0.014,3.933
8160,0.014,3.934
8170,0.015,3.934
8180,0.015,3.934
8190,0.015,3.934
8200,0.014,3.934
8210,0.015,3.935
8220,0.014,3.935
8230,0.014,3.936
8240,0.015,3.936
8250,0.015,3.936
8260,0.015,3.937
8270,0.016,3.937
8280,0.016,3.937
8290,0.016,3.937
8300,0.016,3.938
8310,0.016,3.938
8320,0.015,3.937
8330,0.016,3.938
8340,0.015,3.938
8350,0.016,3.939
8360,0.016,3.939
8370,0.015,3.939
8380,0.016,3.940
8390,0.016,3.940
8400,0.016,3.940
8410,0.017,3.941
8420,0.017,3.941
8430,0.017,3.941
8440,0.016,3.942
8450,0.016,3.942
8460,0.016,3.942
8470,0.017,3.942
8480,0.017,3.943
8490,0.017,3.943
8500,0.018,3.944
8510,0.018,3.944
8520,0.017,3.944
8530,0.018,3.945
8540,0.018,3.945
8550,0.018,3.945
8560,0.019,3.946
8570,0.018,3.946
8580,0.017,3.947
8590,0.017,3.947
8600,0.016,3.946
8610,0.018,3.946
8620,0.017,3.946
8630,0.016,3.946
8640,0.015,3.946
8650,0.016,3.947
8660,0.016,3.948
8670,0.016,3.947
8680,0.015,3.948
8690,0.014,3.948
8700,0.014,3.948
8710,0.015,3.948
8720,0.014,3.949
8730,0.014,3.950
8740,0.014,3.949
8750,0.014,3.949
8760,0.015,3.949
8770,0.015,3.949
8780,0.015,3.949
8790,0.014,3.949
8800,0.014,3.949
8810,0.014,3.949
8820,0.014,3.949
8830,0.015,3.950
8840,0.015,3.949
8850,0.015,3.949
8860,0.015,3.950
8870,0.015,3.949
8880,0.014,3.950
8890,0.015,3.950
8900,0.014,3.951
8910,0.014,3.950
8920,0.014,3.951
8930,0.014,3.951
8940,0.015,3.951
8950,0.015,3.951
8960,0.015,3.952
8970,0.015,3.951
8980,0.015,3.952
8990,0.015,3.953
9000,0.015,3.952
9010,0.015,3.953
9020,0.015,3.954
9030,0.014,3.954
9040,0.014,3.954
9050,0.014,3.954
9060,0.015,3.953
9070,0.015,3.954
9080,0.016,3.953
9090,0.016,3.954
9100,0.015,3.954
9110,0.015,3.954
9120,0.015,3.955
9130,0.016,3.955
9140,0.015,3.956
9150,0.016,3.956
9160,0.016,3.957
9170,0.016,3.956
9180,0.017,3.956
9190,0.017,3.957
9200,0.016,3.958
9210,0.017,3.958
9220,0.016,3.958
